course_basic_ID,course_sp_ID,day,beg,last
COMS0031131026,01,Fri,8,2
COMS0031161001,01,Wed,6,2
COMS0031161000,01,Tue,8,2
COMS0031161000,01,Fri,12,2
COMS0031161000,01,Wed,13,1
COMS0031121013,01,Mon,12,2
COMS0031121013,01,Tue,4,2
COMS0031121013,01,Thu,1,2
COMS0031121014,01,Mon,10,4
COMS0031121014,01,Sat,4,2
COMS0031121004,01,Thu,8,2
COMS0031121004,01,Fri,3,2
COMS0031131032,01,Wed,4,2
COMS0031131032,01,Fri,12,1
COMS0031121009,01,Thu,8,3
COMS0031121009,01,Wed,1,2
COMS0031121015,01,Fri,6,2
COMS0031121015,01,Mon,11,2
COMS0031121015,01,Tue,11,1
COMS0031131013,01,Wed,3,3
COMS0031131043,01,Mon,3,2
COMS0031131043,01,Tue,13,1
STAT0031121004,01,Tue,6,2
STAT0031121004,01,Mon,12,1
COMS0031131049,01,Fri,6,3
COMS0031131050,01,Sat,1,4
COMS0031131050,01,Fri,3,2
COMS0031131042,01,Thu,1,2
COMS0031131042,01,Mon,6,2
COMS0031131990,01,Mon,4,2
COMS0031131990,01,Fri,8,2
COMS0031131019,01,Fri,12,2
COMS0031131019,01,Thu,6,2
COMS0031131019,01,Mon,3,1
COMS0031131036,01,Thu,6,3
COMS0031131037,01,Mon,3,3
COMS0031131037,01,Sat,11,2
COMS0031131051,01,Fri,1,2
COMS0031131051,01,Mon,4,2
COMS0031131051,01,Tue,13,1
COMS0031131052,01,Mon,3,2
COMS0031131052,01,Wed,9,2
COMS0031131053,01,Wed,9,2
COMS0031131053,01,Mon,13,1
SPRT0031182001,01,Mon,1,2
SPRT0031182001,01,Fri,2,1
BIOL0031152001,01,Fri,12,2
ARTS0031132001,01,Wed,4,1
SPED0031142001,01,Wed,3,2
POLI0031142001,01,Wed,11,3
MATH0031182001,01,Thu,6,2
CLAS0031172001,01,Thu,9,2
CLAS0031172001,01,Tue,13,1
SOCI0031132001,01,Mon,1,2
SOCI0031132001,01,Wed,2,1
DATA0031122001,01,Mon,3,2
MARX0031132001,01,Mon,12,2
MARX0031132001,01,Wed,12,1
ECON0031132001,01,Fri,8,2
COMS0031152001,01,Wed,9,2
COMS0031152001,01,Tue,6,1
DESN0031152001,01,Fri,6,2
DESN0031152001,01,Tue,11,2
PSYC0031172001,01,Thu,8,2
ARTS0031132002,01,Tue,6,2
ARTS0031132002,01,Fri,3,1
PREE0031142001,01,Fri,8,3
HIST0031162001,01,Thu,3,2
